year,accidents.obs,accidents.0,accidents.1,accidents.2,accidents.3,cancer.obs,cancer.0,cancer.1,cancer.2,cancer.3,heart.obs,heart.0,heart.1,heart.2,heart.3,pi.obs,pi.0,pi.1,pi.2,pi.3,stroke.obs,stroke.0,stroke.1,stroke.2,stroke.3,tb.obs,tb.0,tb.1,tb.2,tb.3
1900,90.3,111.38,94.46,94.23,93.93,114.8,140.78,116.9,117.31,116.92,265.4,426.26,279.91,270.27,291.6,297.5,268.73,314.34,246.4,284.4,244.2,265.79,251.27,261.29,244.8,206,160.3,200.23,208.59,199.38
1901,109.3,110.57,98.32,98.19,98.07,118.1,141.62,119.11,119.47,119.12,272.6,426.52,285.92,276.88,295.95,312.9,265.69,309.53,248.09,279.09,243.6,263.81,249.81,259.29,244.31,200.9,158.2,196.51,204.28,196.36
1902,93.6,109.77,102.18,102.15,102.21,119.1,142.47,121.31,121.63,121.33,285.2,426.78,291.94,283.5,300.29,219.3,262.65,304.71,249.78,273.79,237.8,261.83,248.34,257.29,243.81,183.8,156.09,192.8,199.97,193.34
1903,106.9,108.97,106.03,106.11,106.36,125.2,143.32,123.52,123.79,123.53,304.5,427.04,297.95,290.11,304.64,251.1,259.61,299.9,251.48,268.48,244.6,259.85,246.88,255.29,243.32,185.4,153.99,189.08,195.66,190.33
1904,112.8,108.17,109.89,110.08,110.5,127.9,144.17,125.73,125.95,125.74,331.5,427.3,303.96,296.73,308.98,291.2,256.57,295.08,253.17,263.18,255.2,257.87,245.42,253.29,242.83,195.4,151.89,185.36,191.35,187.31
1905,108.5,107.36,109.06,114.04,114.65,132.5,145.02,127.93,128.11,127.94,327.8,427.56,309.97,303.35,313.33,257.8,253.53,290.26,254.86,257.87,247.3,255.89,243.96,251.29,242.34,187.3,149.79,181.65,187.04,184.29
1906,121.2,106.56,108.23,118,118.79,128.8,145.87,130.14,130.27,130.14,325.5,427.82,315.98,309.96,317.67,222.5,250.49,285.45,256.55,252.57,245.9,253.91,242.49,249.29,241.85,185.3,147.68,177.93,182.72,181.28
1907,122.3,105.75,107.4,116.23,116.81,133,146.71,132.34,132.43,132.35,356.5,428.08,321.99,316.58,322.02,285.4,247.46,280.63,258.24,247.26,261.8,251.93,241.03,247.29,241.36,185.2,145.58,174.22,178.41,178.26
1908,108.8,104.96,106.57,114.45,114.84,134.5,147.56,134.55,134.59,134.55,328.6,428.34,328.01,323.19,326.37,234.6,244.42,275.81,259.94,241.96,239,249.95,239.57,245.29,240.87,171.6,143.48,170.5,174.1,175.24
1909,108,104.15,105.74,112.68,112.86,138.1,148.41,136.75,136.75,136.75,329.2,428.6,334.02,329.81,330.71,221.2,241.38,271,261.63,236.66,237.5,247.97,238.11,243.29,240.38,165.8,141.38,166.78,169.79,172.22
1910,111.2,103.35,104.91,110.91,110.88,143.1,149.26,138.96,138.92,138.96,345.1,428.85,340.03,336.42,335.06,238.4,238.34,266.18,263.32,231.35,238.5,245.99,236.65,241.29,239.89,163.4,139.27,163.07,165.48,169.21
1911,113.5,102.55,104.08,109.14,108.91,140.4,150.11,141.17,141.08,141.16,341.8,429.11,346.04,343.04,339.4,234.1,235.3,261.36,265.01,226.05,230.2,244.01,235.18,239.29,239.4,166.1,137.17,159.35,161.17,166.19
1912,107.1,101.75,103.25,107.37,106.93,144.7,150.96,143.37,143.24,143.37,346,429.37,352.05,349.65,343.75,213.7,232.26,256.55,266.7,220.74,228.7,242.03,233.72,237.29,238.91,155.4,135.07,155.63,156.85,163.17
1913,108.2,100.94,102.42,105.6,104.96,147.8,151.81,145.58,145.4,145.57,337.9,429.63,358.06,356.27,348.09,214.8,229.22,251.73,268.4,215.44,226.9,240.05,232.26,235.29,238.42,154.2,132.97,151.92,152.54,160.16
1914,100.4,100.14,101.59,103.82,102.98,146.6,152.65,147.78,147.56,147.77,346.4,429.89,364.08,362.89,352.44,202.4,226.18,246.91,270.09,210.13,231.3,238.07,230.8,233.29,237.92,151.9,130.86,148.2,148.23,157.14
1915,95.2,99.34,100.76,102.05,101,149.5,153.5,149.99,149.72,149.98,361.5,430.15,370.09,369.5,356.79,238.1,223.14,242.1,271.78,233.05,234.5,236.09,229.33,231.29,237.43,150.1,128.76,144.48,143.92,154.12
1916,104.3,98.54,99.93,100.28,99.03,152.2,154.35,152.19,151.88,152.18,373.3,430.41,376.1,376.12,361.13,278.5,220.1,237.28,273.47,255.98,235.7,234.11,227.87,229.29,236.94,149.5,126.66,140.77,139.61,151.1
1917,107,97.73,99.1,98.51,97.05,150.7,155.2,154.4,154.04,154.39,377.9,430.57,382.11,382.73,365.48,267,217.06,232.47,275.16,278.9,238.2,232.13,226.41,227.29,236.45,155.3,124.56,137.05,135.3,148.09
1918,99.9,96.93,98.27,96.74,95.07,148.4,156.05,156.61,156.2,156.59,366.2,430.93,388.12,389.35,369.82,612.4,214.02,227.54,276.86,301.82,228,230.15,224.95,225.29,235.96,159.2,122.45,133.33,130.98,145.07
1919,86.9,96.13,97.44,94.96,93.1,152.1,156.9,158.81,158.36,158.79,335.7,431.19,394.14,395.96,374.17,270.9,210.99,222.83,269.53,293.36,225.6,228.17,223.48,223.29,235.47,135.8,120.35,129.62,126.67,133.9
1920,87.5,95.33,96.61,93.19,91.12,159,157.75,161.02,160.53,161,375,431.45,400.15,402.58,378.52,279.2,207.95,218.02,262.2,284.89,238.5,226.19,222.02,221.29,234.98,123.2,118.25,125.9,122.36,122.74
1921,83.2,94.52,95.78,92.43,89.15,163.5,158.59,163.22,162.69,163.2,366.2,431.71,406.16,409.19,387.93,153.1,204.91,213.2,254.88,276.43,230.1,224.21,220.56,219.29,234.49,106.8,116.15,122.19,118.05,111.57
1922,85.4,93.72,94.95,91.67,88.56,165.6,159.44,165.43,164.85,165.4,392.1,431.97,412.17,415.81,397.35,207.6,201.87,208.38,247.55,267.97,238.9,222.23,219.1,217.29,234,105.3,114.04,118.47,113.74,100.41
1923,91.2,92.92,94.12,90.91,87.87,168.8,160.29,167.63,167.01,167.61,410.3,432.23,418.18,422.43,406.77,253,198.83,203.57,240.23,259.5,234.6,220.25,217.64,215.29,233.51,101.4,111.94,114.75,109.43,97.72
1924,89.6,92.12,93.28,90.15,87.38,170.6,161.14,169.84,169.17,169.81,410.5,432.49,424.19,429.04,416.19,182,195.79,198.75,232.9,251.04,246.4,218.27,216.17,213.29,233.02,96.4,109.84,111.04,105.11,95.04
1925,92.2,91.31,92.45,89.39,86.79,174.3,161.99,172.05,171.33,172.02,433.8,432.75,430.21,435.66,425.61,198.1,192.75,193.93,225.58,242.58,227.9,216.29,214.71,211.29,228.56,93.2,107.74,107.32,100.8,92.35
1926,89.8,90.51,91.62,88.63,86.2,177.3,162.84,174.25,173.49,174.22,465.7,433.01,436.22,442.27,435.03,233,189.71,189.12,218.25,234.11,228.2,214.31,213.25,209.29,224.1,94.4,105.63,103.6,96.49,89.67
1927,86.3,89.71,90.79,87.87,85.61,177.8,163.69,176.46,176.65,176.42,448.8,433.27,442.23,448.89,444.45,164,186.67,184.3,210.92,225.65,216.3,212.33,211.79,207.29,219.64,87.4,103.53,99.89,92.18,86.99
1928,86.1,88.91,89.96,87.11,85.02,177.8,164.53,178.66,177.81,178.63,478.9,433.53,448.24,455.5,453.86,236.4,183.63,179.49,203.6,217.19,223.4,210.35,210.32,205.29,215.19,86.6,101.43,96.17,87.87,84.3
1929,84.3,88.1,89.13,86.34,84.43,175.3,165.38,179.17,178.37,179.13,476.2,433.79,454.25,462.12,463.28,247.5,180.59,174.67,196.27,208.72,213.3,208.37,208.86,203.29,210.73,83.1,99.32,92.45,83.56,81.62
1930,84.2,87.3,88.3,85.58,83.84,174.5,166.23,179.68,178.92,179.63,467.9,434.05,460.26,468.74,472.7,159.8,177.55,169.85,188.95,200.26,203.9,206.4,207.4,201.29,206.27,78.3,97.22,88.74,79.25,78.93
