year,cod,asdr
1900,Accidents,90.3
1901,Accidents,109.3
1902,Accidents,93.6
1903,Accidents,106.9
1904,Accidents,112.8
1905,Accidents,108.5
1906,Accidents,121.2
1907,Accidents,122.3
1908,Accidents,108.8
1909,Accidents,108
1910,Accidents,111.2
1911,Accidents,113.5
1912,Accidents,107.1
1913,Accidents,108.2
1914,Accidents,100.4
1915,Accidents,95.2
1916,Accidents,104.3
1917,Accidents,107
1918,Accidents,99.9
1919,Accidents,86.9
1920,Accidents,87.5
1921,Accidents,83.2
1922,Accidents,85.4
1923,Accidents,91.2
1924,Accidents,89.6
1925,Accidents,92.2
1926,Accidents,89.8
1927,Accidents,86.3
1928,Accidents,86.1
1929,Accidents,84.3
1930,Accidents,84.2
1931,Accidents,81.2
1932,Accidents,76.6
1933,Accidents,76.2
1934,Accidents,82.7
1935,Accidents,80.8
1936,Accidents,92.4
1937,Accidents,81.8
1938,Accidents,76.5
1939,Accidents,74.7
1940,Accidents,76
1941,Accidents,72.7
1942,Accidents,75.6
1943,Accidents,82.1
1944,Accidents,77
1945,Accidents,74.9
1946,Accidents,69.4
1947,Accidents,69.9
1948,Accidents,68.6
1949,Accidents,57.6
1950,Accidents,78.4
1951,Accidents,79.7
1952,Accidents,78
1953,Accidents,75.4
1954,Accidents,69.9
1955,Accidents,70.9
1956,Accidents,70.2
1957,Accidents,69.1
1958,Accidents,63.6
1959,Accidents,63.2
1960,Accidents,63.1
1961,Accidents,60.6
1962,Accidents,62.9
1963,Accidents,64
1964,Accidents,64.1
1965,Accidents,65.8
1966,Accidents,67.6
1967,Accidents,66.2
1968,Accidents,65.5
1969,Accidents,64.9
1970,Accidents,62.2
1971,Accidents,60.3
1972,Accidents,60.2
1973,Accidents,59.3
1974,Accidents,52.7
1975,Accidents,50.8
1976,Accidents,48.7
1977,Accidents,48.8
1978,Accidents,48.9
1979,Accidents,46.5
1980,Accidents,46.4
1981,Accidents,43.4
1982,Accidents,40.1
1983,Accidents,39.1
